timestamps,TP9,AF7,AF8,TP10,Right AUX
1759592735.797,-1000.000,55.176,969.727,-87.891,0.000
1759592735.801,-1000.000,44.922,970.215,-92.285,0.000
1759592735.805,-1000.000,42.969,970.215,-82.520,0.000
1759592735.809,-1000.000,41.992,970.215,-75.195,0.000
1759592735.813,-997.559,40.039,970.215,-69.824,0.000
1759592735.817,-1000.000,34.180,970.215,-73.242,0.000
1759592735.820,-946.289,27.344,970.215,-80.078,0.000
1759592735.824,-939.941,19.531,969.727,-76.172,0.000
1759592735.828,-1000.000,14.160,969.727,-51.270,0.000
1759592735.832,-1000.000,9.766,970.215,-45.410,0.000
1759592735.836,-933.594,2.930,970.215,-57.129,0.000
1759592735.840,-894.043,-0.977,970.215,-48.340,0.000
1759592754.687,331.543,-29.297,-53.711,65.918,0.000
1759592754.691,-7.812,-34.180,-46.875,55.176,0.000
1759592754.695,-241.211,-36.621,-48.828,56.152,0.000
1759592754.698,-2.441,-29.785,-56.152,59.082,0.000
1759592754.702,336.914,-21.484,-52.246,53.223,0.000
1759592754.706,130.859,-14.160,-47.363,57.129,0.000
1759592754.710,-212.402,-15.625,-48.828,58.594,0.000
1759592754.714,-99.121,-24.414,-49.805,56.152,0.000
1759592754.718,298.340,-29.785,-49.316,54.199,0.000
1759592754.722,237.793,-27.344,-42.969,55.176,0.000
1759592754.726,-179.688,-30.273,-45.410,58.105,0.000
1759592754.730,-197.266,-30.273,-48.340,59.082,0.000
1759592754.734,175.781,-26.367,-45.410,48.828,0.000
1759592754.738,298.828,-23.438,-43.457,43.457,0.000
1759592754.741,-81.543,-14.648,-43.457,56.152,0.000
1759592754.745,-228.027,-7.324,-41.992,57.617,0.000
1759592754.749,92.285,-9.277,-34.180,56.152,0.000
1759592754.753,349.121,-17.578,-33.691,56.152,0.000
1759592754.757,17.578,-22.461,-40.039,53.711,0.000
1759592754.761,-254.883,-20.996,-39.551,55.664,0.000
1759592754.765,-39.551,-21.973,-32.715,44.434,0.000
1759592754.769,320.801,-24.902,-32.227,32.227,0.000
1759592754.773,154.297,-23.926,-38.086,45.410,0.000
1759592754.777,-215.820,-25.879,-42.480,41.016,0.000
1759592754.781,-142.578,-25.879,-38.086,27.344,0.000
1759592754.784,246.582,-31.250,-37.109,23.438,0.000
1759592754.788,231.934,-30.273,-36.133,25.391,0.000
1759592754.792,-170.898,-22.949,-35.645,31.738,0.000
1759592754.796,-206.055,-25.391,-36.621,26.855,0.000
1759592754.800,165.039,-23.926,-39.062,20.020,0.000
1759592754.804,306.641,-22.949,-44.434,32.227,0.000
1759592754.808,-78.125,-25.391,-36.133,38.574,0.000
1759592754.812,-255.371,-21.973,-25.391,34.180,0.000
1759592754.816,39.551,-24.414,-28.809,33.691,0.000
1759592754.820,314.941,-29.297,-32.227,23.438,0.000
1759592754.823,23.438,-28.809,-29.785,26.367,0.000
1759592754.827,-267.578,-24.414,-29.297,29.297,0.000
1759592754.831,-88.867,-26.367,-27.344,19.531,0.000
1759592754.835,277.832,-23.926,-20.020,12.207,0.000
1759592754.839,137.207,-20.508,-14.648,11.719,0.000
1759592754.843,-241.699,-26.855,-18.066,20.020,0.000
1759592754.847,-187.012,-20.020,-25.879,21.484,0.000
1759592754.851,209.473,-9.277,-21.973,19.531,0.000
1759592754.855,237.793,-15.137,-13.672,12.207,0.000
1759592754.859,-169.922,-22.949,-20.020,6.348,0.000
1759592754.863,-242.676,-23.438,-22.461,6.836,0.000
1759592754.866,92.285,-20.996,-18.066,-1.953,0.000
1759592754.870,281.738,-19.531,-19.531,-3.418,0.000
1759592754.874,-73.242,-22.461,-20.020,3.906,0.000
1759592754.878,-288.086,-25.879,-18.066,3.906,0.000
1759592754.882,-18.066,-23.438,-15.625,-2.441,0.000
1759592754.886,300.293,-21.973,-13.184,-8.301,0.000
1759592754.890,43.945,-23.438,-10.742,4.883,0.000
1759592754.894,-272.461,-23.926,-12.207,19.043,0.000
1759592754.898,-121.582,-19.531,-10.254,7.812,0.000
1759592754.902,250.000,-16.602,-9.277,-9.766,0.000
1759592754.905,145.020,-22.949,-13.184,0.000,0.000
1759592754.909,-260.254,-24.414,-15.625,11.719,0.000
1759592754.913,-236.328,-21.484,-11.719,4.395,0.000
1759592754.917,157.227,-22.461,-12.695,-13.672,0.000
1759592754.921,220.703,-20.508,-17.578,-15.137,0.000
1759592754.925,-187.500,-24.902,-13.672,-3.418,0.000
1759592754.929,-282.227,-31.250,-9.277,-4.883,0.000
