timestamps,TP9,AF7,AF8,TP10,Right AUX
1759592797.342,31.250,-21.973,-26.367,-19.043,0.000
1759592797.346,-269.043,-27.832,-23.926,-17.578,0.000
1759592797.350,-166.992,-28.809,-21.973,-15.625,0.000
1759592797.353,172.852,-24.902,-20.996,-16.602,0.000
1759592797.357,119.629,-29.785,-19.043,-22.461,0.000
1759592797.361,-230.469,-32.715,-19.531,-25.391,0.000
1759592797.365,-248.535,-36.133,-26.367,-25.391,0.000
1759592797.369,81.055,-41.504,-29.297,-24.902,0.000
1759592797.373,191.406,-35.156,-20.996,-17.090,0.000
1759592797.377,-140.625,-33.691,-13.672,-16.113,0.000
1759592797.381,-264.160,-35.645,-16.602,-15.625,0.000
1759592797.385,11.719,-31.250,-19.043,-8.789,0.000
1759592797.389,250.000,-28.809,-18.555,-6.836,0.000
1759592797.392,-16.602,-26.855,-18.555,-11.230,0.000
1759592797.396,-250.488,-33.203,-22.461,-7.812,0.000
1759592797.400,-64.941,-35.156,-22.949,-5.859,0.000
1759592797.404,247.070,-26.855,-20.020,-5.371,0.000
1759592797.408,85.449,-34.668,-17.090,0.977,0.000
1759592797.412,-230.957,-37.598,-13.184,-2.930,0.000
1759592797.416,-156.738,-35.645,-21.484,0.488,0.000
1759592797.420,183.105,-35.156,-22.949,-3.418,0.000
1759592797.424,177.734,-24.414,-10.742,-11.719,0.000
1759592797.428,-171.875,-24.902,-9.277,-1.465,0.000
1759592797.432,-219.238,-32.227,-13.184,0.488,0.000
1759592797.435,91.797,-33.691,-13.184,-6.348,0.000
1759592797.439,226.074,-32.715,-12.695,-14.160,0.000
1759592797.443,-107.910,-36.621,-15.625,-10.254,0.000
1759592797.447,-267.090,-39.062,-14.648,-11.719,0.000
1759592797.451,-15.625,-35.645,-13.672,-18.066,0.000
1759592797.455,235.840,-30.762,-12.695,-7.812,0.000
1759592797.459,-16.602,-34.180,-17.578,-9.766,0.000
1759592797.463,-287.598,-42.480,-26.367,-11.230,0.000
1759592797.467,-124.512,-36.133,-15.625,-16.113,0.000
1759592797.471,202.148,-36.133,-18.555,-23.438,0.000
1759592797.475,77.148,-46.387,-30.273,-18.555,0.000
1759592797.478,-252.930,-54.199,-24.902,-19.531,0.000
1759592797.482,-216.797,-52.246,-19.043,-29.785,0.000
1759592797.486,120.117,-42.969,-27.344,-32.715,0.000
1759592797.490,151.367,-43.457,-32.715,-26.367,0.000
1759592797.494,-202.637,-44.922,-20.020,-20.020,0.000
1759592797.498,-270.996,-43.945,-20.996,-23.926,0.000
1759592797.502,39.062,-52.734,-35.645,-31.250,0.000
1759592797.506,200.684,-52.734,-38.086,-25.391,0.000
1759592797.510,-116.699,-48.340,-31.250,-30.762,0.000
1759592797.514,-297.852,-46.387,-29.297,-40.039,0.000
1759592797.517,-62.988,-44.434,-34.180,-33.691,0.000
1759592797.521,218.750,-46.387,-29.785,-35.645,0.000
1759592797.525,0.000,-44.922,-23.438,-39.062,0.000
1759592797.529,-278.320,-42.480,-21.484,-37.598,0.000
1759592797.533,-144.043,-41.504,-20.020,-29.785,0.000
1759592797.537,192.871,-38.574,-19.043,-24.414,0.000
