timestamps,TP9,AF7,AF8,TP10,Right AUX
1759595983.339,-137.695,9.277,48.828,-13.184,0.000
1759595983.343,63.477,12.207,47.852,-2.441,0.000
1759595983.347,178.223,11.719,44.434,6.348,0.000
1759595983.351,-22.461,15.137,44.434,11.719,0.000
1759595983.355,-147.949,16.602,50.781,7.324,0.000
1759595983.358,-12.207,7.324,47.852,0.000,0.000
1759595983.362,178.223,10.254,39.062,20.996,0.000
1759595983.366,34.668,19.043,41.992,10.742,0.000
1759595983.370,-152.832,21.484,49.805,-0.488,0.000
1759595983.374,-80.566,19.043,47.852,4.395,0.000
1759595983.378,145.020,18.555,43.457,6.836,0.000
1759595983.382,93.262,18.066,43.945,-0.977,0.000
1759595983.386,-138.672,21.973,44.434,-10.742,0.000
1759595983.390,-135.254,19.531,37.109,-15.625,0.000
1759595983.394,87.402,18.066,33.203,-12.695,0.000
1759595983.398,140.625,22.949,38.086,-2.930,0.000
1759595983.401,-90.820,20.996,35.645,-6.836,0.000
1759595983.405,-160.156,18.555,32.227,-11.230,0.000
1759595983.409,32.227,18.066,28.320,-9.277,0.000
1759595983.413,167.480,18.555,25.879,-4.395,0.000
1759595983.417,-30.273,16.602,23.438,-13.672,0.000
1759595983.421,-170.898,13.184,19.531,-18.555,0.000
1759595983.425,-39.062,14.160,31.250,-25.879,0.000
1759595983.429,163.574,18.066,36.133,-14.648,0.000
1759595983.433,38.086,20.996,32.715,-13.672,0.000
1759595983.437,-163.574,19.531,29.297,-23.926,0.000
1759595983.440,-93.750,17.090,25.391,-13.184,0.000
1759595983.444,139.160,20.508,26.367,-3.906,0.000
1759595983.448,104.980,19.531,24.414,-13.672,0.000
1759595983.452,-117.676,18.066,17.578,-19.531,0.000
1759595983.456,-133.789,19.043,16.602,-19.043,0.000
1759595983.460,72.266,18.066,33.691,-2.930,0.000
1759595983.464,158.691,9.766,42.480,20.020,0.000
1759595983.468,-52.246,5.859,35.645,19.043,0.000
1759595983.472,-154.785,17.578,23.438,-16.602,0.000
1759595983.476,-4.395,20.996,17.578,-37.598,0.000
1759595983.480,145.996,19.531,23.926,-32.715,0.000
1759595983.483,-30.273,25.391,28.320,-42.480,0.000
1759595983.487,-206.055,27.832,26.855,-79.102,0.000
1759595983.491,-104.492,32.715,30.762,-85.449,0.000
1759595983.495,109.375,38.574,25.879,-73.242,0.000
1759595983.499,-18.066,38.574,14.160,-107.910,0.000
1759595983.503,-237.793,41.992,13.672,-131.836,0.000
1759595983.507,-189.941,41.992,18.555,-129.395,0.000
1759595983.511,28.320,41.016,15.625,-111.328,0.000
1759595983.515,27.344,46.875,7.812,-118.164,0.000
1759595983.519,-207.031,50.781,17.578,-141.602,0.000
1759595983.522,-243.652,53.223,25.879,-138.184,0.000
1759595983.526,-29.297,46.875,25.391,-116.211,0.000
1759595983.530,83.496,47.852,21.484,-103.516,0.000
1759595983.534,-115.234,53.711,15.625,-106.445,0.000
1759595983.538,-214.355,45.898,15.137,-105.957,0.000
1759595983.542,-55.176,35.645,20.508,-87.891,0.000
1759595983.546,123.535,34.180,20.996,-69.336,0.000
1759595983.550,-27.832,36.621,26.855,-63.965,0.000
1759595983.554,-185.059,38.086,29.297,-52.734,0.000
1759595983.558,-86.914,40.039,24.414,-41.992,0.000
1759595983.562,130.859,43.945,26.855,-35.645,0.000
1759595983.565,69.336,44.922,28.320,-29.785,0.000
1759595983.569,-142.578,36.133,21.484,-33.691,0.000
1759595983.573,-117.676,33.203,22.461,-34.668,0.000
1759595983.577,108.887,40.039,37.598,-17.578,0.000
1759595983.581,137.207,38.574,36.621,-7.812,0.000
1759595983.585,-91.797,35.645,31.250,-12.695,0.000
1759595983.589,-155.273,33.203,29.785,-19.531,0.000
1759595983.593,41.016,30.762,29.785,-17.090,0.000
1759595983.597,164.551,31.250,28.320,-11.230,0.000
1759595983.601,-39.062,28.809,22.461,-11.230,0.000
1759595983.605,-163.574,28.809,30.273,-11.230,0.000
1759595983.608,-28.320,29.785,33.203,-14.648,0.000
1759595983.612,172.363,29.297,28.320,-6.836,0.000
1759595983.616,42.480,30.273,29.297,-8.789,0.000
1759595983.620,-158.691,26.367,29.785,-20.020,0.000
1759595983.624,-80.566,23.926,33.691,-13.184,0.000
1759595983.628,145.996,24.414,35.156,-6.348,0.000
1759595983.632,102.539,20.020,27.832,1.465,0.000
1759595983.636,-116.211,16.602,31.250,-4.883,0.000
1759595983.640,-116.699,9.277,37.109,-15.625,0.000
1759595983.644,99.121,8.301,41.992,3.418,0.000
1759595983.647,154.297,13.672,41.016,9.277,0.000
1759595983.651,-75.684,14.648,37.598,-16.602,0.000
1759595983.655,-159.668,16.113,42.480,-25.879,0.000
1759595983.659,22.949,16.602,44.922,-14.648,0.000
1759595983.663,161.621,13.672,36.621,-5.859,0.000
1759595983.667,-27.832,13.672,37.109,-13.184,0.000
1759595983.671,-161.133,13.672,39.551,-9.277,0.000
1759595983.675,-35.645,14.160,38.574,-4.395,0.000
1759595983.679,172.363,20.508,38.086,-2.441,0.000
1759595983.683,61.035,24.902,39.062,-4.883,0.000
1759595983.687,-135.742,27.832,32.715,-0.977,0.000
1759595983.690,-78.125,25.391,28.320,8.789,0.000
1759595983.694,138.672,21.973,40.527,6.348,0.000
1759595983.698,120.605,26.855,48.340,-2.930,0.000
1759595983.702,-104.492,27.344,46.387,-2.930,0.000
1759595983.706,-128.906,22.949,42.969,0.977,0.000
1759595983.710,78.613,23.438,41.504,3.418,0.000
1759595983.714,153.320,24.414,32.715,0.000,0.000
1759595983.718,-65.430,22.949,36.133,-1.465,0.000
1759595983.722,-154.785,21.973,49.805,-2.930,0.000
1759595983.726,15.137,17.090,50.293,0.488,0.000
1759595983.729,172.852,14.160,41.504,8.789,0.000
1759595983.733,2.441,16.602,40.527,16.602,0.000
1759595983.737,-152.832,17.578,46.875,27.344,0.000
1759595983.741,-53.711,19.043,52.246,21.973,0.000
1759595983.745,156.738,20.020,48.340,14.160,0.000
1759595983.749,71.777,20.020,42.969,4.395,0.000
1759595983.753,-132.324,20.996,41.016,-5.371,0.000
1759595983.757,-102.051,20.996,41.016,-11.719,0.000
1759595983.761,129.395,26.367,42.969,9.277,0.000
