timestamps,TP9,AF7,AF8,TP10,Right AUX
1759592827.014,125.977,-38.086,-27.344,-27.832,0.000
1759592827.017,-142.578,-41.504,-25.391,-40.527,0.000
1759592827.021,-186.035,-38.574,-33.691,-38.574,0.000
1759592827.025,41.016,-38.086,-28.809,-30.273,0.000
1759592827.029,154.785,-42.969,-25.879,-34.180,0.000
1759592827.033,-82.031,-39.062,-34.180,-29.297,0.000
1759592827.037,-218.262,-39.551,-39.062,-23.926,0.000
1759592827.041,-41.992,-39.551,-35.156,-27.832,0.000
1759592827.045,166.016,-31.250,-26.855,-26.367,0.000
1759592827.049,-1.953,-32.227,-25.879,-23.926,0.000
1759592827.053,-221.191,-40.039,-26.855,-35.156,0.000
1759592827.056,-111.816,-39.062,-25.391,-32.715,0.000
1759592827.060,146.484,-34.668,-28.320,-31.250,0.000
1759592827.064,62.500,-39.062,-33.691,-33.203,0.000
1759592827.068,-184.570,-38.086,-34.180,-23.926,0.000
1759592827.072,-163.574,-33.691,-25.391,-20.996,0.000
1759592827.076,87.402,-30.762,-24.414,-23.926,0.000
1759592827.080,128.418,-30.762,-36.621,-23.926,0.000
1759592827.084,-138.672,-40.039,-37.598,-20.996,0.000
1759592827.088,-206.055,-42.969,-26.855,-29.785,0.000
1759592827.092,19.043,-37.109,-27.344,-36.133,0.000
1759592827.096,162.109,-29.785,-30.273,-24.414,0.000
1759592827.099,-68.359,-33.691,-28.320,-21.484,0.000
1759592827.103,-216.797,-42.969,-31.738,-32.715,0.000
1759592827.107,-42.969,-45.898,-31.738,-31.250,0.000
1759592827.111,172.852,-40.527,-30.273,-27.344,0.000
1759592827.115,8.789,-37.109,-29.297,-24.902,0.000
1759592827.119,-212.891,-37.109,-25.879,-30.762,0.000
1759592827.123,-114.746,-32.715,-28.320,-33.203,0.000
1759592827.127,144.043,-39.062,-29.785,-24.902,0.000
1759592827.131,87.402,-41.992,-27.832,-23.926,0.000
1759592827.135,-173.340,-38.574,-28.320,-28.320,0.000
1759592827.139,-169.434,-37.109,-33.691,-33.691,0.000
1759592827.142,80.566,-36.621,-37.109,-24.902,0.000
1759592827.146,143.066,-40.527,-32.227,-23.438,0.000
1759592827.150,-118.164,-37.598,-30.273,-36.621,0.000
1759592827.154,-202.148,-35.645,-37.598,-29.297,0.000
1759592827.158,9.277,-37.598,-42.480,-26.855,0.000
1759592827.162,171.875,-33.691,-36.133,-24.902,0.000
1759592827.166,-46.875,-33.691,-35.156,-20.020,0.000
1759592827.170,-214.355,-37.109,-40.039,-17.578,0.000
1759592827.174,-57.129,-38.086,-39.062,-18.066,0.000
1759592827.178,167.480,-34.668,-37.598,-16.602,0.000
1759592827.181,35.156,-33.691,-30.273,-11.230,0.000
1759592827.185,-194.824,-31.250,-36.133,-8.301,0.000
1759592827.189,-122.070,-28.320,-41.504,-8.301,0.000
1759592827.193,128.418,-33.203,-28.320,-21.973,0.000
1759592827.197,93.750,-36.133,-26.367,-30.273,0.000
1759592827.201,-166.992,-29.785,-30.273,-24.414,0.000
1759592827.205,-180.176,-28.320,-36.133,-22.949,0.000
1759592827.209,61.035,-30.762,-35.645,-23.926,0.000
1759592827.213,152.344,-34.180,-28.809,-22.949,0.000
1759592827.217,-91.797,-35.645,-25.879,-21.973,0.000
1759592827.221,-205.566,-37.598,-25.391,-22.461,0.000
1759592827.224,-19.531,-41.016,-20.020,-17.578,0.000
1759592827.228,161.133,-36.133,-18.555,-16.602,0.000
1759592827.232,-34.668,-37.109,-35.645,-20.508,0.000
1759592827.236,-212.402,-38.574,-32.715,-21.484,0.000
1759592827.240,-75.684,-36.621,-24.414,-24.902,0.000
1759592827.244,157.227,-40.527,-35.645,-24.414,0.000
1759592827.248,54.199,-40.039,-28.809,-15.625,0.000
1759592827.252,-182.617,-35.156,-19.531,-13.672,0.000
1759592827.256,-139.648,-30.762,-28.809,-14.160,0.000
1759592827.260,112.305,-38.574,-37.109,-19.043,0.000
1759592827.264,117.188,-46.387,-35.156,-24.902,0.000
1759592827.267,-146.484,-42.969,-34.668,-19.043,0.000
1759592827.271,-194.824,-45.898,-35.645,-27.344,0.000
1759592827.275,38.574,-50.293,-38.574,-29.785,0.000
1759592827.279,149.902,-46.875,-40.039,-22.461,0.000
1759592827.283,-98.145,-46.875,-33.203,-31.738,0.000
1759592827.287,-220.215,-46.387,-34.180,-29.297,0.000
1759592827.291,-37.109,-43.457,-29.785,-23.926,0.000
1759592827.295,169.434,-37.109,-22.949,-21.484,0.000
1759592827.299,-1.465,-40.039,-25.879,-22.461,0.000
1759592827.303,-209.473,-43.945,-29.297,-34.668,0.000
1759592827.306,-91.309,-45.410,-32.227,-37.109,0.000
1759592827.310,142.090,-49.805,-31.738,-28.320,0.000
