timestamps,TP9,AF7,AF8,TP10,Right AUX
1759592705.657,-115.723,-29.297,-19.043,-16.113,0.000
1759592705.661,90.332,-31.738,-22.949,-6.836,0.000
1759592705.665,89.844,-28.320,-16.602,-4.883,0.000
1759592705.669,-114.258,-24.414,-12.695,-1.465,0.000
1759592705.673,-148.438,-28.809,-20.996,0.000,0.000
1759592705.677,49.316,-32.715,-25.879,-6.348,0.000
1759592705.681,112.305,-29.297,-24.414,-1.465,0.000
1759592705.685,-98.145,-33.203,-24.414,-9.277,0.000
1759592705.689,-174.316,-41.504,-32.227,3.418,0.000
1759592705.693,-24.902,-41.504,-26.855,10.254,0.000
1759592705.697,125.000,-38.574,-20.508,-9.766,0.000
1759592705.700,-19.043,-34.180,-23.926,-8.789,0.000
1759592705.704,-151.855,-23.926,-16.113,3.906,0.000
1759592705.708,-53.711,-19.043,-12.695,-2.441,0.000
1759592705.712,103.516,-20.020,-19.531,-20.508,0.000
1759592705.716,30.762,-20.020,-25.879,-23.438,0.000
1759592705.720,-145.996,-21.484,-20.996,-11.719,0.000
1759592705.724,-113.281,-24.414,-22.949,-5.371,0.000
1759592705.728,86.914,-27.832,-21.973,-13.672,0.000
1759592705.732,83.496,-32.227,-23.926,-20.996,0.000
1759592705.736,-125.977,-30.273,-29.297,-5.859,0.000
1759592705.739,-129.883,-27.832,-10.254,-14.160,0.000
1759592705.743,54.688,-33.203,-4.883,-14.648,0.000
1759592705.747,106.445,-30.273,-16.113,-10.254,0.000
1759592705.751,-80.078,-28.320,-17.578,-30.762,0.000
1759592705.755,-163.574,-29.297,-15.625,-31.250,0.000
1759592705.759,-20.020,-28.320,-15.137,-21.484,0.000
1759592705.763,141.602,-29.297,-18.555,-26.855,0.000
1759592705.767,23.926,-32.227,-20.996,-27.832,0.000
1759592705.771,-145.020,-32.227,-20.508,-21.973,0.000
1759592705.775,-76.172,-28.809,-18.066,-20.508,0.000
1759592705.779,115.723,-33.203,-28.809,-13.184,0.000
1759592705.782,39.551,-37.109,-29.297,-8.789,0.000
1759592705.786,-153.320,-34.180,-14.160,-27.344,0.000
1759592705.790,-121.582,-31.738,-21.484,-41.016,0.000
1759592705.794,72.266,-34.180,-25.391,-27.832,0.000
1759592705.798,104.980,-27.832,-17.090,-20.020,0.000
1759592705.802,-103.516,-24.902,-17.578,-23.926,0.000
1759592705.806,-143.555,-29.785,-16.602,-25.879,0.000
1759592705.810,41.992,-26.855,-18.555,-11.719,0.000
1759592705.814,126.953,-24.414,-19.531,-8.789,0.000
1759592705.818,-47.852,-24.902,-17.090,-14.648,0.000
1759592705.822,-146.973,-28.320,-20.996,-4.883,0.000
1759592705.825,-19.043,-31.250,-25.879,9.766,0.000
1759592705.829,147.949,-26.367,-15.625,-3.906,0.000
1759592705.833,31.738,-25.879,-13.672,-16.602,0.000
1759592705.837,-151.367,-32.227,-22.461,-17.090,0.000
1759592705.841,-95.703,-33.203,-22.949,-16.602,0.000
1759592705.845,96.680,-26.855,-17.578,-15.625,0.000
1759592705.849,67.383,-25.879,-19.531,-23.926,0.000
1759592705.853,-129.395,-27.344,-24.414,-12.695,0.000
1759592705.857,-134.277,-28.809,-23.926,-8.301,0.000
1759592705.861,69.824,-27.832,-21.484,-9.766,0.000
1759592705.864,106.445,-21.973,-21.484,-3.418,0.000
1759592705.868,-107.910,-30.762,-29.785,-5.371,0.000
1759592705.872,-158.203,-34.668,-28.809,-1.953,0.000
1759592705.876,8.789,-23.438,-19.043,-15.137,0.000
1759592705.880,114.258,-24.902,-22.949,-32.227,0.000
1759592705.884,-49.805,-29.297,-24.902,-32.715,0.000
1759592705.888,-172.852,-26.367,-19.531,-29.297,0.000
1759592705.892,-63.477,-25.391,-15.137,-27.344,0.000
1759592705.896,110.352,-26.367,-20.508,-24.902,0.000
1759592705.900,6.836,-25.879,-21.484,-20.996,0.000
1759592705.904,-161.621,-24.902,-16.113,-19.043,0.000
1759592705.907,-94.727,-27.832,-17.578,-33.203,0.000
1759592705.911,90.820,-33.691,-24.414,-38.086,0.000
1759592705.915,71.777,-33.691,-29.297,-25.879,0.000
1759592705.919,-124.512,-28.320,-19.043,-28.809,0.000
1759592705.923,-155.273,-23.438,-14.648,-27.832,0.000
1759592705.927,28.809,-26.367,-25.391,-19.043,0.000
1759592705.931,80.566,-25.879,-24.902,-24.414,0.000
1759592705.935,-99.121,-20.996,-20.020,-28.809,0.000
1759592705.939,-172.852,-24.902,-20.996,-26.367,0.000
1759592705.943,-28.809,-24.414,-26.855,-23.926,0.000
1759592705.947,119.141,-22.461,-24.902,-23.438,0.000
1759592705.950,-29.297,-24.414,-19.043,-36.133,0.000
1759592705.954,-175.781,-27.832,-22.461,-37.598,0.000
1759592705.958,-55.176,-28.320,-35.156,-18.555,0.000
1759592705.962,125.977,-29.297,-32.715,-20.508,0.000
1759592705.966,5.859,-26.367,-18.066,-30.273,0.000
1759592705.970,-186.035,-20.020,-28.320,-18.555,0.000
1759592705.974,-132.812,-20.996,-30.273,-14.648,0.000
1759592705.978,66.895,-19.043,-23.926,-17.090,0.000
1759592705.982,93.750,-18.066,-26.367,-17.578,0.000
1759592705.986,-92.773,-20.020,-27.832,-12.207,0.000
1759592705.989,-141.602,-20.996,-22.949,-4.395,0.000
1759592705.993,41.016,-24.414,-19.531,-9.277,0.000
1759592705.997,128.906,-24.414,-19.531,-5.859,0.000
1759592706.001,-57.617,-20.996,-29.785,-12.207,0.000
1759592706.005,-164.551,-18.555,-42.480,-25.391,0.000
1759592706.009,-30.762,-20.996,-39.062,-14.648,0.000
1759592706.013,133.789,-24.902,-32.227,-8.789,0.000
1759592706.017,-0.488,-26.855,-39.062,-17.578,0.000
1759592706.021,-163.086,-24.902,-41.016,-15.137,0.000
1759592706.025,-75.195,-20.020,-30.762,-16.113,0.000
1759592706.029,116.211,-20.996,-29.785,-18.066,0.000
1759592706.032,85.938,-21.973,-29.297,-3.906,0.000
1759592706.036,-129.395,-18.066,-27.344,-6.836,0.000
1759592706.040,-140.625,-15.625,-23.438,-18.066,0.000
1759592706.044,75.195,-21.484,-24.902,-18.066,0.000
1759592706.048,104.492,-25.391,-31.250,-13.672,0.000
1759592706.052,-111.816,-31.738,-34.180,-14.160,0.000
1759592706.056,-170.410,-36.621,-28.320,-19.531,0.000
1759592706.060,8.301,-27.344,-24.902,-21.973,0.000
1759592706.064,124.023,-29.297,-36.621,-15.137,0.000
1759592706.068,-41.504,-31.738,-32.715,-14.160,0.000
1759592706.072,-146.973,-29.785,-19.043,-30.273,0.000
1759592706.075,-37.598,-32.715,-24.414,-31.250,0.000
1759592706.079,106.934,-27.344,-27.832,-28.809,0.000
1759592706.083,0.488,-26.855,-24.414,-21.484,0.000
1759592706.087,-156.738,-29.785,-23.926,-17.578,0.000
1759592706.091,-91.797,-28.809,-28.320,-20.508,0.000
1759592706.095,117.188,-33.203,-33.203,-14.648,0.000
1759592706.099,62.988,-36.133,-35.645,-17.090,0.000
1759592706.103,-147.461,-36.621,-35.645,-34.668,0.000
1759592706.107,-135.254,-39.551,-39.062,-26.855,0.000
1759592706.111,49.805,-37.598,-41.016,-11.719,0.000
1759592706.114,86.914,-36.133,-28.809,-23.926,0.000
1759592706.118,-98.633,-34.668,-23.926,-20.996,0.000
1759592706.122,-162.598,-30.273,-27.344,-4.395,0.000
1759592706.126,-9.277,-26.855,-28.320,-10.742,0.000
1759592706.130,142.090,-24.902,-21.484,-16.113,0.000
1759592706.134,-21.484,-23.438,-23.438,-14.648,0.000
1759592706.138,-159.668,-22.461,-30.762,-6.836,0.000
1759592706.142,-31.738,-23.926,-29.297,-10.742,0.000
1759592706.146,146.484,-22.949,-29.785,-20.020,0.000
1759592706.150,19.531,-25.391,-29.297,-25.879,0.000
1759592706.154,-187.500,-26.855,-35.156,-23.438,0.000
1759592706.157,-134.766,-28.320,-41.016,-18.066,0.000
1759592706.161,68.359,-38.574,-30.762,-32.715,0.000
1759592706.165,81.055,-33.691,-30.273,-35.156,0.000
1759592706.169,-130.859,-31.738,-34.668,-29.297,0.000
1759592706.173,-153.809,-36.621,-28.320,-20.508,0.000
1759592706.177,39.551,-34.180,-27.344,-26.367,0.000
1759592706.181,93.262,-31.738,-30.273,-39.551,0.000
1759592706.185,-86.426,-26.855,-22.949,-30.762,0.000
1759592706.189,-173.340,-27.344,-20.996,-26.367,0.000
1759592706.193,-20.020,-38.086,-24.414,-18.066,0.000
1759592706.197,122.559,-38.574,-23.438,-20.996,0.000
1759592706.200,-20.996,-32.715,-27.832,-20.508,0.000
1759592706.204,-157.227,-33.691,-25.391,-16.113,0.000
1759592706.208,-59.570,-31.738,-24.414,-19.043,0.000
1759592706.212,110.840,-29.297,-32.715,-11.719,0.000
1759592706.216,28.809,-32.227,-30.762,-8.301,0.000
1759592706.220,-159.180,-31.738,-22.949,-17.578,0.000
1759592706.224,-126.953,-33.691,-27.344,-20.996,0.000
1759592706.228,69.824,-35.645,-36.133,-21.484,0.000
1759592706.232,83.496,-34.668,-31.738,-19.531,0.000
1759592706.236,-134.277,-37.109,-24.902,-12.207,0.000
1759592706.239,-166.992,-30.762,-23.926,-12.695,0.000
1759592706.243,36.133,-24.902,-31.250,-13.184,0.000
1759592706.247,113.281,-24.414,-28.809,-7.324,0.000
1759592706.251,-77.148,-23.926,-18.555,-11.230,0.000
1759592706.255,-173.828,-26.367,-25.391,-14.160,0.000
1759592706.259,-54.688,-27.344,-31.250,-20.996,0.000
1759592706.263,104.980,-28.809,-31.738,-20.508,0.000
1759592706.267,-12.207,-30.273,-24.414,-14.648,0.000
1759592706.271,-157.227,-27.832,-20.996,-19.043,0.000
1759592706.275,-74.707,-29.297,-20.508,-15.625,0.000
1759592706.279,108.398,-24.414,-17.090,-11.230,0.000
1759592706.282,34.668,-21.484,-19.531,-20.996,0.000
1759592706.286,-169.434,-22.949,-30.273,-20.996,0.000
1759592706.290,-142.578,-23.926,-36.133,-9.277,0.000
1759592706.294,61.523,-26.367,-28.809,-14.648,0.000
1759592706.298,104.004,-28.320,-24.902,-28.809,0.000
1759592706.302,-90.332,-25.391,-26.367,-19.043,0.000
1759592706.306,-171.875,-26.367,-23.926,-10.254,0.000
1759592706.310,-26.855,-35.156,-24.414,-16.113,0.000
1759592706.314,120.117,-30.273,-26.855,-15.625,0.000
1759592706.318,-30.762,-25.879,-26.855,-4.883,0.000
1759592706.322,-167.480,-31.250,-26.855,-6.348,0.000
1759592706.325,-57.617,-32.227,-32.227,-19.531,0.000
1759592706.329,102.539,-27.344,-31.250,-17.090,0.000
1759592706.333,-0.488,-24.902,-36.133,-4.395,0.000
1759592706.337,-149.902,-28.320,-31.738,0.977,0.000
1759592706.341,-69.336,-26.367,-15.625,-13.672,0.000
1759592706.345,95.703,-25.391,-29.785,-21.973,0.000
1759592706.349,46.387,-30.273,-35.645,-15.625,0.000
1759592706.353,-123.047,-32.227,-30.762,-17.578,0.000
1759592706.357,-139.648,-26.367,-28.809,-32.227,0.000
1759592706.361,44.434,-23.438,-32.715,-34.668,0.000
1759592706.364,102.539,-28.809,-31.738,-19.043,0.000
1759592706.368,-90.332,-30.273,-23.438,-10.742,0.000
1759592706.372,-152.344,-29.297,-27.344,-16.602,0.000
1759592706.376,17.578,-30.762,-28.809,-8.789,0.000
1759592706.380,145.508,-29.785,-27.832,-3.418,0.000
1759592706.384,-14.160,-29.297,-24.414,-9.277,0.000
1759592706.388,-150.879,-24.902,-18.066,-10.254,0.000
1759592706.392,-53.711,-24.902,-21.484,9.766,0.000
1759592706.396,142.578,-23.926,-24.414,7.812,0.000
1759592706.400,50.781,-20.508,-13.184,-12.207,0.000
1759592706.404,-147.949,-23.438,-2.930,-20.020,0.000
1759592706.407,-119.141,-28.809,-10.742,-26.367,0.000
1759592706.411,96.191,-35.156,-13.184,-11.719,0.000
1759592706.415,82.520,-36.133,-4.395,-5.371,0.000
1759592706.419,-131.348,-31.738,-6.348,-8.789,0.000
1759592706.423,-140.625,-40.527,-9.766,-3.906,0.000
1759592706.427,43.945,-47.363,-17.578,-3.906,0.000
1759592706.431,123.047,-34.668,-19.531,-5.371,0.000
1759592706.435,-53.223,-24.902,-8.789,-4.395,0.000
1759592706.439,-148.438,-35.156,-15.625,6.348,0.000
1759592706.443,-7.324,-36.133,-15.625,13.184,0.000
1759592706.447,135.254,-24.902,-3.418,10.254,0.000
1759592706.450,-11.719,-29.297,-8.789,-2.930,0.000
1759592706.454,-151.855,-32.227,-14.160,-11.719,0.000
1759592706.458,-57.617,-25.879,-15.625,-11.719,0.000
1759592706.462,121.094,-25.391,-18.066,-17.090,0.000
1759592706.466,49.805,-28.320,-14.160,-14.160,0.000
1759592706.470,-134.766,-27.832,-9.766,-8.301,0.000
1759592706.474,-102.051,-30.273,-9.766,-8.789,0.000
1759592706.478,91.309,-32.715,-10.742,-12.695,0.000
1759592706.482,83.496,-25.391,-13.184,-2.441,0.000
1759592706.486,-97.168,-30.273,-23.438,4.883,0.000
1759592706.489,-122.559,-34.180,-16.602,-8.789,0.000
1759592706.493,33.203,-21.973,-14.648,-11.230,0.000
1759592706.497,144.043,-20.996,-23.926,-6.348,0.000
1759592706.501,-31.250,-27.832,-24.414,-4.883,0.000
1759592706.505,-155.273,-27.832,-19.531,-7.812,0.000
1759592706.509,-7.324,-22.461,-22.461,-3.418,0.000
1759592706.513,158.203,-22.949,-28.320,1.953,0.000
1759592706.517,11.230,-25.391,-28.809,7.324,0.000
1759592706.521,-158.203,-23.438,-30.273,7.324,0.000
1759592706.525,-73.730,-19.043,-23.926,-0.977,0.000
1759592706.529,134.766,-17.090,-29.785,7.324,0.000
1759592706.532,80.566,-16.113,-33.203,20.508,0.000
1759592706.536,-130.371,-17.578,-18.066,11.719,0.000
1759592706.540,-101.562,-17.090,-19.531,4.395,0.000
1759592706.544,100.586,-20.020,-29.297,2.441,0.000
1759592706.548,109.375,-26.367,-28.809,-2.930,0.000
1759592706.552,-109.863,-27.832,-28.320,-1.953,0.000
1759592706.556,-156.738,-30.273,-36.133,2.441,0.000
1759592706.560,7.324,-30.273,-40.527,-7.324,0.000
1759592706.564,106.934,-32.227,-38.086,-19.531,0.000
1759592706.568,-57.617,-34.668,-35.645,-27.344,0.000
